x log_normal gamma weibull
29.5 0.0002730471521813684 1.3082983391349154e-05 1.2800926310408882e-05
29.75 0.0002652922120927811 1.208976342436561e-05 1.1785632826468856e-05
30.0 0.00025779941439877573 1.1171696647220361e-05 1.0849909363852929e-05
30.25 0.0002505584411322832 1.0323119336234334e-05 9.987604267627895e-06
30.5 0.00024355943881877436 9.538792478886122e-06 9.193034026738448e-06
30.75 0.00023679299491095784 8.813870125426282e-06 8.460948307689263e-06
31.0 0.000230250115554276 8.143870079695481e-06 7.786497541160725e-06
31.25 0.00022392220460040697 7.524646758122102e-06 7.165202880444669e-06
31.5 0.00021780104379161584 6.9523660581919665e-06 6.592928362954516e-06
31.75 0.00021187877404399693 6.423482089132148e-06 6.06585511763195e-06
32.0 0.00020614787776248203 5.93471562819065e-06 5.580457471887956e-06
32.25 0.00020060116212496334 5.4830341757807635e-06 5.133480821824234e-06
32.5 0.00019523174327703546 5.065633491944433e-06 4.72192113892462e-06
32.75 0.000190033031382717 4.679920505120279e-06 4.343005995225847e-06
33.0 0.000184998716480087 4.323497492126081e-06 3.994176997210684e-06
33.25 0.00018012275509410091 3.994147435623156e-06 3.6730735263509557e-06
33.5 0.00017539935756194492 3.6898204721611518e-06 3.377517691397069e-06
33.75 0.0001708229760291488 3.4086213502431827e-06 3.1055004041972858e-06
34.0 0.00016638829307737165 3.1487978237372576e-06 2.855168497064059e-06
34.25 0.00016209021094724173 2.90872991142191e-06 2.6248128055157076e-06
34.5 0.00015792384132196167 2.686919958522885e-06 2.4128571456362307e-06
34.75 0.00015388449563954353 2.481983440800105e-06 2.217848120340057e-06
35.0 0.00014996767590355219 2.2926404561067936e-06 2.038445693525691e-06
35.25 0.00014616906596410197 2.11770785238935e-06 1.87341447547573e-06
35.5 0.00014248452324260667 1.956091944849589e-06 1.7216156669310623e-06
35.75 0.0001389100708754139 1.8067817784715362e-06 1.581999613054919e-06
36.0 0.00013544189025297142 1.6688428953424741e-06 1.4535989220262308e-06
36.25 0.0001320763139325972 1.5414115691901357e-06 1.3355221062790178e-06
36.5 0.00012880981890425392 1.423689472332294e-06 1.2269477074518622e-06
36.75 0.00012563902018996562 1.314938742806496e-06 1.1271188689444068e-06
37.0 0.00012256066475867486 1.2144774218313829e-06 1.0353383226107473e-06
37.25 0.00011957162573942371 1.1216752339603097e-06 9.50963758565867e-07
37.5 0.00011666889691675591 1.0359496843352208e-06 8.734035493540384e-07
37.75 0.00011384958749318225 9.56762449346061e-07 8.021128018389121e-07
38.0 0.00011111091710445047 8.836160387588129e-07 7.365897121349667e-07
38.25 0.00010845021107417476 8.160507090039764e-07 6.763722007197793e-07
38.5 0.00010586489589518322 7.536416088262219e-07 6.210348065554322e-07
38.75 0.00010335249492564717 6.959961398936601e-07 5.701858206149074e-07
39.0 0.00010091062428876072 6.427515162599113e-07 5.23464640663458e-07
39.25 9.853698896536904e-05 5.935725077714071e-07 4.80539330494014e-07
39.5 9.622937906955194e-05 5.481493536229413e-07 4.411043680668721e-07
39.75 9.398566629773257e-05 5.061958332931199e-07 4.048785681640521e-07
40.0 9.180380054240933e-05 4.674474830438067e-07 3.7160316624437945e-07
40.25 8.968180666211483e-05 4.316599470496279e-07 3.410400511823796e-07
40.5 8.761778139966364e-05 3.986074530402607e-07 3.129701354981501e-07
40.75 8.56098904411992e-05 3.680814030942715e-07 2.87191852541597e-07
41.0 8.36563656089562e-05 3.3988907092324873e-07 2.635197708877126e-07
41.25 8.175550218105129e-05 3.138523976329925e-07 2.417833169344093e-07
41.5 7.990565633197202e-05 2.8980687854832564e-07 2.2182559737494709e-07
41.75 7.810524268778408e-05 2.6760053424336127e-07 2.0350231384721137e-07
42.0 7.635273199039804e-05 2.47092959432956e-07 1.8668076264553896e-07
42.25 7.46466488655417e-05 2.2815444385673125e-07 1.7123891292092827e-07
42.5 7.29855696893704e-05 2.1066515972726607e-07 1.5706455729535162e-07
42.75 7.136812054891971e-05 1.9451441072142624e-07 1.440545292785171e-07
43.0 6.979297529185625e-05 1.7959993787081284e-07 1.3211398230348902e-07
43.25 6.825885366122795e-05 1.6582727805614452e-07 1.2115572559355763e-07
43.5 6.67645195111329e-05 1.531091711331867e-07 1.1109961243907592e-07
43.75 6.530877909944801e-05 1.4136501201651207e-07 1.018719768017463e-07
44.0 6.389047945395489e-05 1.3052034432370585e-07 9.340511447713356e-08
44.25 6.25085068083904e-05 1.2050639243828312e-07 8.563680533583517e-08
44.5 6.116178510512938e-05 1.1125962908611756e-07 7.850987343152429e-08
44.75 5.9849274561378545e-05 1.0272137573896606e-07 7.197178201161095e-08
45.0 5.85699702959152e-05 9.483743336109643e-08 6.597426069502595e-08
